SYMBOL;O;H;L;V;C
KTLEV.IS;178;179.69999695;172.5;13522585;172.69999695
KUYAS.IS;68.80000305;73.19999695;67.90000153;35859856;73.19999695
MAGEN.IS;41;41.86000061;39.58000183;12886753;40.63999939
MAVI.IS;41.41999817;41.58000183;40.31999969;3927037;40.38000107
MGROS.IS;639;642.5;634;1105757;635.5
MIATK.IS;33.43999863;34.45999908;32.93999863;18305099;33.15999985
MPARK.IS;409.25;413;406;451455;409
OBAMS.IS;5.44999981;5.48999977;5.34000015;28538695;5.38000011
ODAS.IS;8.89999962;9.22000027;8.80000019;82827602;9.07999992
OTKAR.IS;321.75;347.75;321.5;1404574;335
OYAKC.IS;21.29999924;21.34000015;20.86000061;13568351;20.92000008
PAHOL.IS;1.44000006;1.47000003;1.42999995;252346379;1.47000003
PASEU.IS;114.80000305;114.80000305;109.30000305;5288437;110.59999847
PATEK.IS;20.86000061;21.12000084;20.73999977;6904630;20.86000061
PETKM.IS;22.45999908;23.20000076;22.37999916;72281111;22.81999969
PGSUS.IS;162.8999939;163.30000305;161.1000061;7514240;161.3999939
PSGYO.IS;3.6099999;3.94000006;3.6099999;341522153;3.92000008
QUAGR.IS;4.03000021;4.17000008;3.91000009;102757647;3.92000008
RALYH.IS;262.75;266.5;254;1993372;256.75
REEDR.IS;6.76999998;6.8499999;6.69999981;5660334;6.73000002
